Number,Title,Author,Status
2384,Muir Glacier Difficulty Bomb Delay,Eric Conner (@econoar),Final
2387,Hardfork Meta: Muir Glacier,James Hancock (@madeoftin),Final
2464,eth/65: transaction announcements and retrievals,"Péter Szilágyi <[email protected]>, Péter Szilágyi (@karalabe), Gary Rong <[email protected]>, Tim Beiko (@timbeiko)",Final
2481,eth/66 request identifier,Christoph Burgdorf (@cburgdorf),Final
2535,"Diamonds, Multi-Facet Proxy",Nick Mudge (@mudgen),Final
2565,ModExp Gas Cost,"Kelly Olson (@ineffectualproperty), Sean Gulley (@sean-sn), Simon Peffers (@simonatsn), Justin Drake (@justindrake), Dankrad Feist (@dankrad)",Final
2612,Permit Extension for EIP-20 Signed Approvals,Martin Lundfall (@Mrchico),Final
2678,Revised Ethereum Smart Contract Packaging Standard (EthPM v3),"g. nicholas d’andrea (@gnidan), Piper Merriam (@pipermerriam), Nick Gheorghita (@njgheorghita), Christian Reitwiessner (@chriseth), Ben Hauser (@iamdefinitelyahuman), Bryant Eisenbach (@fubuloubu)",Final
2681,Limit account nonce to 2^64-1,Alex Beregszaszi (@axic),Final
2696,JavaScript `request` method RPC transport,"Micah Zoltu (@MicahZoltu), Erik Marks (@rekmarks)",Final
2700,JavaScript Provider Event Emitter,"Micah Zoltu (@MicahZoltu), Erik Marks (@rekmarks)",Final
2718,Typed Transaction Envelope,Micah Zoltu (@MicahZoltu),Final
2771,Secure Protocol for Native Meta Transactions,"Ronan Sandford (@wighawag), Liraz Siri (@lirazsiri), Dror Tirosh (@drortirosh), Yoav Weiss (@yoavw), Alex Forshtat (@forshtat), Hadrien Croubois (@Amxx), Sachin Tomar (@tomarsachin2271), Patrick McCorry (@stonecoldpat), Nicolas Venturo (@nventuro), Fabian Vogelsteller (@frozeman), Gavin John (@Pandapip1)",Final
2929,Gas cost increases for state access opcodes,"Vitalik Buterin (@vbuterin), Martin Swende (@holiman)",Final
2930,Optional access lists,"Vitalik Buterin (@vbuterin), Martin Swende (@holiman)",Final
2976,Typed Transactions over Gossip,Micah Zoltu (@MicahZoltu),Final
2981,NFT Royalty Standard,"Zach Burks (@vexycats), James Morgan (@jamesmorgan), Blaine Malone (@blmalone), James Seibel (@seibelj)",Final
2982,Serenity Phase 0,"Danny Ryan (@djrtwo), Vitalik Buterin (@vbuterin)",Final
3156,Flash Loans,"Alberto Cuesta Cañada (@albertocuestacanada), Fiona Kobayashi (@fifikobayashi), fubuloubu (@fubuloubu), Austin Williams (@onewayfunction)",Final
3198,BASEFEE opcode,"Abdelhamid Bakhta (@abdelhamidbakhta), Vitalik Buterin (@vbuterin)",Final
3448,MetaProxy Standard,pinkiebell (@pinkiebell),Final
3475,Abstract Storage Bonds,"Yu Liu (@yuliu-debond), Varun Deshpande (@dr-chain), Cedric Ngakam (@drikssy), Dhruv Malik (@dhruvmalik007), Samuel Gwlanold Edoumou (@Edoumou), Toufic Batrice (@toufic0710)",Final
3525,Semi-Fungible Token,"Will Wang (@will42w), Mike Meng <[email protected]>, Yi Cai (@YeeTsai) <[email protected]>, Ryan Chow <[email protected]>, Zhongxin Wu (@Nerverwind), AlvisDu (@AlvisDu)",Final
3529,Reduction in refunds,"Vitalik Buterin (@vbuterin), Martin Swende (@holiman)",Final
3541,Reject new contract code starting with the 0xEF byte,"Alex Beregszaszi (@axic), Pawe? Bylica (@chfast), Andrei Maiboroda (@gumb0), Alexey Akhunov (@AlexeyAkhunov), Christian Reitwiessner (@chriseth), Martin Swende (@holiman)",Final
3554,Difficulty Bomb Delay to December 2021,James Hancock (@madeoftin),Final
3607,Reject transactions from senders with deployed code,"Dankrad Feist (@dankrad), Dmitry Khovratovich (@khovratovich), Marius van der Wijden (@MariusVanDerWijden)",Final
3651,Warm COINBASE,William Morriss (@wjmelements),Final
3668,CCIP Read: Secure offchain data retrieval,Nick Johnson (@arachnid),Final
3675,Upgrade consensus to Proof-of-Stake,"Mikhail Kalinin (@mkalinin), Danny Ryan (@djrtwo), Vitalik Buterin (@vbuterin)",Final
3855,PUSH0 instruction,"Alex Beregszaszi (@axic), Hugo De la cruz (@hugo-dc), Pawe? Bylica (@chfast)",Final
3860,Limit and meter initcode,"Martin Holst Swende (@holiman), Pawe? Bylica (@chfast), Alex Beregszaszi (@axic), Andrei Maiboroda (@gumb0)",Final
4345,Difficulty Bomb Delay to June 2022,"Tim Beiko (@timbeiko), James Hancock (@MadeOfTin), Thomas Jay Rush (@tjayrush)",Final
4399,Supplant DIFFICULTY opcode with PREVRANDAO,"Mikhail Kalinin (@mkalinin), Danny Ryan (@djrtwo)",Final
4400,EIP-721 Consumable Extension,"Daniel Ivanov (@Daniel-K-Ivanov), George Spasov (@Perseverance)",Final
4519,Non-Fungible Tokens Tied to Physical Assets,"Javier Arcenegui (@Hardblock-IMSE-CNM), Rosario Arjona (@RosarioArjona), Roberto Román <[email protected]>, Iluminada Baturone (@lumi2018)",Final
4626,Tokenized Vaults,"Joey Santoro (@joeysantoro), t11s (@transmissions11), Jet Jadeja (@JetJadeja), Alberto Cuesta Cañada (@alcueca), Señor Doggo (@fubuloubu)",Final
4736,Consensus Layer Withdrawal Protection,"Benjamin Chodroff (@benjaminchodroff), Jim McDonald (@mcdee)",Final
4804,Web3 URL to EVM Call Message Translation,"Qi Zhou (@qizhou), Chao Pi (@pichaoqkc), Sam Wilson (@SamWilsn)",Final
4834,Hierarchical Domains,Gavin John (@Pandapip1),Final
4895,Beacon chain push withdrawals as operations,"Alex Stokes (@ralexstokes), Danny Ryan (@djrtwo)",Final
4906,EIP-721 Metadata Update Extension,"Anders (@0xanders), Lance (@LanceSnow), Shrug <[email protected]>, Nathan <[email protected]>",Final
4907,"Rental NFT, an Extension of EIP-721","Anders (@0xanders), Lance (@LanceSnow), Shrug <[email protected]>",Final
4955,Vendor Metadata Extension for NFTs,Ignacio Mazzara (@nachomazzara),Final
5006,"Rental NFT, NFT User Extension","Lance (@LanceSnow), Anders (@0xanders), Shrug <[email protected]>",Final
5007,"Time NFT, ERC-721 Time Extension","Anders (@0xanders), Lance (@LanceSnow), Shrug <[email protected]>",Final
5023,Shareable Non-Fungible Token,"Jarno Marttila (@yaruno), Martin Moravek (@mmartinmo)",Final
5133,Delaying Difficulty Bomb to mid-September 2022,"Tomasz Kajetan Stanczak (@tkstanczak), Eric Marti Haynes (@ericmartihaynes), Josh Klopfenstein (@joshklop), Abhimanyu Nag (@AbhiMan1601)",Final
5169,Client Script URI for Token Contracts,"James (@JamesSmartCell), Weiwu (@weiwu-zhang)",Final
5192,Minimal Soulbound NFTs,"Tim Daubenschütz (@TimDaub), Anders (@0xanders)",Final
5219,Contract Resource Requests,Gavin John (@Pandapip1),Final
5267,Retrieval of EIP-712 domain,Francisco Giordano (@frangio),Final
5313,Light Contract Ownership,William Entriken (@fulldecent),Final
5375,NFT Author Information and Consent,"Samuele Marro (@samuelemarro), Luca Donno (@lucadonnoh)",Final
5380,ERC-721 Entitlement Extension,"Gavin John (@Pandapip1), Tim Daubenschütz (@TimDaub)",Final
5484,Consensual Soulbound Tokens,Buzz Cai (@buzzcai),Final
5489,NFT Hyperlink Extension,IronMan_CH (@coderfengyun),Final
5507,Refundable Tokens,"elie222 (@elie222), Gavin John (@Pandapip1)",Final
5528,Refundable Fungible Token,StartfundInc (@StartfundInc),Final
5570,Digital Receipt Non-Fungible Tokens,Sean Darcy (@darcys22),Final
5606,Multiverse NFTs,"Gaurang Torvekar (@gaurangtorvekar), Khemraj Adhawade (@akhemraj), Nikhil Asrani (@nikhilasrani)",Final
5615,ERC-1155 Supply Extension,Gavin John (@Pandapip1),Final
5646,Token State Fingerprint,Naim Ashhab (@ashhanai),Final
5679,Token Minting and Burning,Zainan Victor Zhou (@xinbenlv),Final
5732,Commit Interface,"Zainan Victor Zhou (@xinbenlv), Matt Stam (@mattstam)",Final
5749,The 'window.evmproviders' object,Kosala Hemachandra (@kvhnuke),Final
5750,General Extensibility for Method Behaviors,Zainan Victor Zhou (@xinbenlv),Final
5757,Process for Approving External Resources,Sam Wilson (@SamWilsn),Final
5773,Context-Dependent Multi-Asset Tokens,"Bruno Škvorc (@Swader), Cicada (@CicadaNCR), Steven Pineda (@steven2308), Stevan Bogosavljevic (@stevyhacker), Jan Turk (@ThunderDeliverer)",Final
6049,Deprecate SELFDESTRUCT,William Entriken (@fulldecent),Final
6059,Parent-Governed Nestable Non-Fungible Tokens,"Bruno Škvorc (@Swader), Cicada (@CicadaNCR), Steven Pineda (@steven2308), Stevan Bogosavljevic (@stevyhacker), Jan Turk (@ThunderDeliverer)",Final
6105,No Intermediary NFT Trading Protocol,"5660-eth (@5660-eth), Silvere Heraudeau (@lambdalf-dev), Martin McConnell (@offgridgecko), Abu <[email protected]>, Wizard Wang",Final
6147,"Guard of NFT/SBT, an Extension of ERC-721","5660-eth (@5660-eth), Wizard Wang",Final
6150,Hierarchical NFTs,"Keegan Lee (@keeganlee), msfew <[email protected]>, Kartin <[email protected]>, qizhou (@qizhou)",Final
6220,Composable NFTs utilizing Equippable Parts,"Bruno Škvorc (@Swader), Cicada (@CicadaNCR), Steven Pineda (@steven2308), Stevan Bogosavljevic (@stevyhacker), Jan Turk (@ThunderDeliverer)",Final
6454,Minimal Transferable NFT detection interface,"Bruno Škvorc (@Swader), Francesco Sullo (@sullof), Steven Pineda (@steven2308), Stevan Bogosavljevic (@stevyhacker), Jan Turk (@ThunderDeliverer)",Final
6672,Multi-redeemable NFTs,"RE:DREAMER Lab <[email protected]>, Archie Chang (@ArchieR7) <[email protected]>, Kai Yu (@chihkaiyu) <[email protected]>, Yonathan Randyanto (@Randyanto) <[email protected]>, Boyu Chu (@chuboyu) <[email protected]>, Boxi Li (@boxi79) <[email protected]>, Jason Cheng (@Jason0729) <[email protected]>",Final
1153,Transient storage opcodes,"Alexey Akhunov (@AlexeyAkhunov), Moody Salem (@moodysalem)",Last Call
1191,Add chain id to mixed-case checksum address encoding,Juliano Rizzo (@juli),Last Call
2135,"Consumable Interface (Tickets, etc)",Zainan Victor Zhou (@xinbenlv),Last Call
2266,Atomic Swap-based American Call Option Contract Standard,"Runchao Han <[email protected]>, Haoyu Lin <[email protected]>, Jiangshan Yu <[email protected]>",Last Call
3076,Slashing Protection Interchange Format,"Michael Sproul (@michaelsproul), Sacha Saint-Leger (@sachayves), Danny Ryan (@djrtwo)",Last Call
4910,Royalty Bearing NFTs,Andreas Freund (@Therecanbeonlyone1969),Last Call
5008,ERC-721 Nonce Extension,"Anders (@0xanders), Lance (@LanceSnow), Shrug <[email protected]>",Last Call
5202,Blueprint contract format,"Charles Cooper (@charles-cooper), Edward Amor (@skellet0r)",Last Call
5216,EIP-1155 Approval By Amount Extension,"Iván Mañús (@ivanmmurciaua), Juan Carlos Cantó (@EscuelaCryptoES)",Last Call
5496,Multi-privilege Management NFT Extension,Jeremy Z (@wnft),Last Call
6093,Custom errors for commonly-used tokens,"Ernesto García (@ernestognw), Francisco Giordano (@frangio), Hadrien Croubois (@Amxx)",Last Call
6381,Public Non-Fungible Token Emote Repository,"Bruno Škvorc (@Swader), Steven Pineda (@steven2308), Stevan Bogosavljevic (@stevyhacker), Jan Turk (@ThunderDeliverer)",Last Call
663,Unlimited SWAP and DUP instructions,Alex Beregszaszi (@axic),Review
1185,Storage of DNS Records in ENS,Jim McDonald (@mcdee),Review
1328,WalletConnect URI Format,"ligi (@ligi), Pedro Gomes (@pedrouid)",Review
1898,Add `blockHash` to defaultBlock methods,Charles Cooper (@charles-cooper),Review
2015,wallet_updateEthereumChain RPC Method,"Pedro Gomes (@pedrouid), Erik Marks (@rekmarks), Pandapip1 (@Pandapip1)",Review
2294,Explicit bound to Chain ID size,"Zainan Victor Zhou (@xinbenlv), Alex Beregszaszi (@axic)",Review
3074,AUTH and AUTHCALL opcodes,"Sam Wilson (@SamWilsn), Ansgar Dietrichs (@adietrichs), Matt Garnett (@lightclient), Micah Zoltu (@micahzoltu)",Review
3540,EOF - EVM Object Format v1,"Alex Beregszaszi (@axic), Pawe? Bylica (@chfast), Andrei Maiboroda (@gumb0), Matt Garnett (@lightclient)",Review
3561,Trust Minimized Upgradeability Proxy,Sam Porter (@SamPorter1984),Review
3670,EOF - Code Validation,"Alex Beregszaszi (@axic), Andrei Maiboroda (@gumb0), Pawe? Bylica (@chfast)",Review
3770,Chain-specific addresses,"Lukas Schor (@lukasschor), Richard Meissner (@rmeissner), Pedro Gomes (@pedrouid), ligi <[email protected]>",Review
4200,EOF - Static relative jumps,"Alex Beregszaszi (@axic), Andrei Maiboroda (@gumb0), Pawe? Bylica (@chfast)",Review
4361,Sign-In with Ethereum,"Wayne Chang (@wyc), Gregory Rocco (@obstropolos), Brantly Millegan (@brantlymillegan), Nick Johnson (@Arachnid)",Review
4527,QR Code transmission protocol for wallets,"Aaron Chen (@aaronisme), Sora Lee (@soralit), ligi (@ligi), Dan Miller (@danjm), AndreasGassmann (@andreasgassmann), xardass (@xardass), Lixin Liu (@BitcoinLixin)",Review
4750,EOF - Functions,"Andrei Maiboroda (@gumb0), Alex Beregszaszi (@axic), Pawe? Bylica (@chfast)",Review
4758,Deactivate SELFDESTRUCT,"Guillaume Ballet (@gballet), Vitalik Buterin (@vbuterin), Dankrad Feist (@dankrad)",Review
4844,Shard Blob Transactions,"Vitalik Buterin (@vbuterin), Dankrad Feist (@dankrad), Diederik Loerakker (@protolambda), George Kadianakis (@asn-d6), Matt Garnett (@lightclient), Mofi Taiwo (@Inphi), Ansgar Dietrichs (@adietrichs)",Review
4881,Deposit Contract Snapshot Interface,Mark Mackey (@ethDreamer),Review
4938,eth/67 - Removal of GetNodeData,"Marius van der Wijden (@MariusVanDerWijden), Felix Lange <[email protected]>, Gary Rong <[email protected]>",Review
4973,Account-bound Tokens,Tim Daubenschütz (@TimDaub),Review
4974,Ratings,Daniel Tedesco (@dtedesco1),Review
4987,Held token interface,Devin Conley (@devinaconley),Review
5005,Zodiac Modular Accounts,"Auryn Macmillan (@auryn-macmillan), Kei Kreutler (@keikreutler)",Review
5018,Filesystem-like Interface for Contracts,Qi Zhou (@qizhou),Review
5114,Soulbound Badge,Micah Zoltu (@MicahZoltu),Review
5164,Cross-Chain Execution,"Brendan Asselstine (@asselstine), Pierrick Turelier (@PierrickGT), Chris Whinfrey (@cwhinfrey)",Review
5252,Account-bound Finance,"Hyungsuk Kang (@hskang9), Viktor Pernjek (@smuxx)",Review
5269,EIP/ERC Detection and Discovery,Zainan Victor Zhou (@xinbenlv),Review
5289,Ethereum Notary Interface,Gavin John (@Pandapip1),Review
5298,ENS Trust to hold NFTs under ENS name,Zainan Victor Zhou (@xinbenlv),Review
5450,EOF - Stack Validation,"Andrei Maiboroda (@gumb0), Pawe? Bylica (@chfast), Alex Beregszaszi (@axic), Danno Ferrin (@shemnon)",Review
5516,Soulbound Multi-owner Tokens,"Lucas Martín Grasso Ramos (@LucasGrasso), Matias Arazi (@MatiArazi)",Review
5553,Representing IP and its Royalty Structure,Roy Osherove (@royosherove),Review
5568,Revert Reason for Required Actions,Gavin John (@Pandapip1),Review
5585,ERC-721 NFT Authorization,"Veega Labs (@VeegaLabsOfficial), Sean NG (@ngveega), Tiger (@tiger0x), Fred (@apan), Fov Cao (@fovcao)",Review
5604,NFT Lien,"Allen Zhou <[email protected]>, Alex Qin <[email protected]>, Zainan Victor Zhou (@xinbenlv)",Review
5625,NFT Metadata JSON Schema dStorage Extension,Gavin Fu (@gavfu),Review
5639,Delegation Registry,"foobar (@0xfoobar), Wilkins Chung (@wwhchung) <[email protected]>, ryley-o (@ryley-o), Jake Rockland (@jakerockland), andy8052 (@andy8052)",Review
5643,Subscription NFTs,cygaar (@cygaar),Review
5656,MCOPY - Memory copying instruction,"Alex Beregszaszi (@axic), Paul Dworzanski (@poemm), Jared Wasinger (@jwasinger), Casey Detrio (@cdetrio), Pawel Bylica (@chfast), Charles Cooper (@charles-cooper)",Review
5725,Transferable Vesting NFT,"Apeguru (@Apegurus), Marco De Vries <[email protected]>, Mario <[email protected]>, DeFiFoFum (@DeFiFoFum)",Review
5793,eth/68 - Add tx type to tx announcement,Marius van der Wijden (@MariusVanDerWijden),Review
5805,Voting with delegation,"Hadrien Croubois (@Amxx), Francisco Giordano (@frangio)",Review
5920,PAY opcode,"Gavin John (@Pandapip1), Zainan Victor Zhou (@xinbenlv)",Review
5982,Role-based Access Control,Zainan Victor Zhou (@xinbenlv),Review
6065,Real Estate Token,"Alex (@Alex-Klasma), Ben Fusek (@bfusek), Daniel Fallon-Cyr (@dfalloncyr)",Review
6066,Signature Validation Method for NFTs,Jack Boyuan Xu (@boyuanx),Review
6120,Universal Token Router,"Zergity (@Zergity), Ngo Quang Anh (@anhnq82), BerlinP (@BerlinP), Khanh Pham (@blackskin18)",Review
6122,Forkid checks based on timestamps,Marius van der Wijden (@MariusVanDerWijden),Review
6188,Nonce Cap,Gavin John (@Pandapip1),Review
6189,Alias Contracts,Gavin John (@Pandapip1),Review
6190,Verkle-compatible SELFDESTRUCT,Gavin John (@Pandapip1),Review
6239,Semantic Soulbound Tokens,Jessica Chang (@JessicaChg),Review
6357,Single-contract Multi-delegatecall,Gavin John (@Pandapip1),Review
6358,Cross-Chain Token States Synchronization,"Shawn Zheng (@xiyu1984), Jason Cheng <[email protected]>, George Huang (@virgil2019), Kay Lin (@kay404)",Review
6372,Contract clock,"Hadrien Croubois (@Amxx), Francisco Giordano (@frangio)",Review
6475,SSZ Optional,"Etan Kissling (@etan-status), Zahary Karadjov (@zah)",Review
6492,Signature Validation for Predeploy Contracts,"Ivo Georgiev (@Ivshti), Agustin Aguilar (@Agusx1211)",Review
6493,SSZ Transaction Signature Scheme,"Etan Kissling (@etan-status), Matt Garnett (@lightclient), Vitalik Buterin (@vbuterin)",Review
6808,Fungible Key Bound Token,"Mihai Onila (@MihaiORO), Nick Zeman (@NickZCZ), Narcis Cotaie (@NarcisCRO)",Review
6809,Non-Fungible Key Bound Token,"Mihai Onila (@MihaiORO), Nick Zeman (@NickZCZ), Narcis Cotaie (@NarcisCRO)",Review
6953,Network Upgrade Activation Triggers,Tim Beiko (@timbeiko),Review
6997,ERC-721 with transaction validation step.,Eduard López i Fina (@eduardfina),Review
223,223 Token with communication model,Dexaran (@Dexaran) <[email protected]>,Draft
725,General data key/value store and execution,"Fabian Vogelsteller (@frozeman), Tyler Yasaka (@tyleryasaka)",Draft
998,Composable Non-Fungible Token,"Matt Lockyer <[email protected]>, Nick Mudge <[email protected]>, Jordan Schalm <[email protected]>, sebastian echeverry <[email protected]>, Zainan Victor Zhou (@xinbenlv)",Draft
1202,Voting Interface,"Zainan Victor Zhou (@xinbenlv), Evan (@evbots), Yin Xu (@yingogobot)",Draft
1418,Blockchain Storage Rent Payment,William Entriken (@fulldecent),Draft
1459,Node Discovery via DNS,"Felix Lange (@fjl), Péter Szilágyi (@karalabe)",Draft
