File,First Commit Message,First Commit Date,Last Commit Message,Last Commit Date,Number,Title,Author,Status
eip-1056.md,"EIP-1056 Ethereum Lightweight Identity implementation (#2210)

* submit original ERC as EIP

* Update with deployed address

* update to correct format

* fix typo",2019-07-26 14:14:36+00:00,"(bot 1272989785) moving EIPS/eip-1056.md to stagnant (#3992)

PR 3992 with changes to EIPS/eip-1056.md was created on 
	(2021-Sep-19th@01.4.57)
which is before the cutoff date of 
	(2021-Sep-26th@01.7.25)
i.e. 2 weeks ago",2021-10-10 01:08:26+00:00,1056,Ethereum Lightweight Identity,"Pelle Braendgaard, Joel Torstensson",Stagnant
eip-1057.md,Rename eip-1057.md to EIPS/eip-1057.md,2018-05-18 10:14:16+00:00,"(bot 1272989785) moving EIPS/eip-1057.md to stagnant (#3993)

PR 3993 with changes to EIPS/eip-1057.md was created on 
	(2021-Sep-19th@01.5.6)
which is before the cutoff date of 
	(2021-Sep-26th@01.7.25)
i.e. 2 weeks ago",2021-10-10 01:08:20+00:00,1057,"ProgPoW, a Programmatic Proof-of-Work","Greg Colvin, Andrea Lanfranchi, Michael Carter, IfDefElse",Stagnant
eip-1062.md,"Formalize IPFS hash into ENS(Ethereum Name Service) resolver (#1062)

* Formalize IPFS hash into ENS(Ethereum Name Service) resolver

* Update and rename eip-X.md to eip-1062.md

* Remove superfluous space after 'category'

* Update the URL for discussion

* Fix typos

* Fix typo

* Update Specification, Rationale and Test Cases

* Store multihash value in bytes",2018-05-07 06:48:46+00:00,"(bot 1272989785) moving EIPS/eip-1062.md to stagnant (#3994)

PR 3994 with changes to EIPS/eip-1062.md was created on 
	(2021-Sep-19th@01.5.15)
which is before the cutoff date of 
	(2021-Sep-26th@01.7.25)
i.e. 2 weeks ago",2021-10-10 01:08:13+00:00,1062,Formalize IPFS hash into ENS(Ethereum Name Service) resolver,"Phyrex Tsai, Portal Network Team",Stagnant
eip-1066.md,ESC proposal (#8) (#1066),2018-05-15 18:31:44+00:00,"(bot 1272989785) moving EIPS/eip-1066.md to stagnant (#3995)

PR 3995 with changes to EIPS/eip-1066.md was created on 
	(2021-Sep-19th@01.5.23)
which is before the cutoff date of 
	(2021-Sep-26th@01.7.25)
i.e. 2 weeks ago",2021-10-10 01:08:07+00:00,1066,Status Codes,"Brooklyn Zelenka, Tom Carchrae, Gleb Naumenko",Stagnant
eip-107.md,rename to eip-107,2017-04-17 17:00:40+00:00,"Update EIP-107: Use standardized markdown formatting (#7030)

* Update EIP-107: Use standardized markdown formatting

* Update EIPS/eip-107.md

---------

Co-authored-by: Sam Wilson <57262657+SamWilsn@users.noreply.github.com>",2023-05-16 05:42:58+00:00,107,"safe ""eth_sendTransaction"" authorization via html popup",Ronan Sandford,Stagnant
eip-1077.md,"ERC: Executable Signed Messages refunded by the contract (#1077)

* ERC: Executable Signed Messages refunded by the contract

Allowing users to sign messages to show intent of execution, but allowing a third party relayer to execute them is an emerging pattern being used in many projects. Standardizing a common format for them, as well as a way in which the user allows the transaction to be paid in tokens, gives app developers a lot of flexibility and can become the main way in which app users interact with the Blockchain.

* Update eip-1077.md

* Update eip-1077.md

* Added uPort and Gnosis examples

* Swarm city

* change dependencies

* moves reference to 877",2018-05-15 19:20:02+00:00,"(bot 1272989785) moving EIPS/eip-1077.md to stagnant (#3997)

PR 3997 with changes to EIPS/eip-1077.md was created on 
	(2021-Sep-19th@01.5.41)
which is before the cutoff date of 
	(2021-Sep-26th@01.7.25)
i.e. 2 weeks ago",2021-10-10 01:07:54+00:00,1077,Gas relay for contract calls,"Alex Van de Sande, Ricardo Guilherme Schmidt",Stagnant
eip-1078.md,"ERC: log in / signup using ENS subdomains (#1078)

* ERC: log in / signup using ENS subdomains

This presents a method to replace the usual signup/login design pattern with a minimal ethereum native scheme, that doesn’t require passwords, backing up private keys nor typing seed phrases. From the user point of view it will be very similar to patterns they’re already used to with second factor authentication (without relying in a central server), but for dapp developers it requires a new way to think about ethereum transactions.

* Update eip-1078.md

* Update eip-1078.md

* changed dependencies

* change title to force travis rebuild",2018-05-17 14:18:20+00:00,"(bot 1272989785) moving EIPS/eip-1078.md to stagnant (#3998)

PR 3998 with changes to EIPS/eip-1078.md was created on 
	(2021-Sep-19th@01.5.50)
which is before the cutoff date of 
	(2021-Sep-26th@01.7.25)
i.e. 2 weeks ago",2021-10-10 01:07:48+00:00,1078,Universal login / signup using ENS subdomains,Alex Van de Sande,Stagnant
eip-1080.md,"ERC 1080: RecoverableToken Standard (#1080)

* work on setting up the eip-governable-token

* some notes

* Update and rename eip-governable-token.md to eip-recoverable-token.md

added the three levels of token recovery. considering adding separate process for loss because of theft

* Update and rename eip-recoverable-token.md to eip-1080.md

* added colon and discussion to link",2018-05-15 18:31:12+00:00,"(bot 1272989785) moving EIPS/eip-1080.md to stagnant (#3999)

PR 3999 with changes to EIPS/eip-1080.md was created on 
	(2021-Sep-19th@01.6.0)
which is before the cutoff date of 
	(2021-Oct-3rd@01.5.45)
i.e. 2 weeks ago",2021-10-17 01:16:46+00:00,1080,Recoverable Token,Bradley Leatherwood,Stagnant
eip-1081.md,"Standard Bounties (#1081)

* added Standard Bounties EIP

* updated date and EIP number

* updated EIP number

* Updated to follow the prescribed EIP-X format

* renamed file

* Updated based on suggestions

* updated to lowercase eip

* Update eip-1081.md

* Updated EIP verbiage.",2018-07-31 21:14:19+00:00,"(bot 1272989785) moving EIPS/eip-1081.md to stagnant (#4000)

PR 4000 with changes to EIPS/eip-1081.md was created on 
	(2021-Sep-19th@01.6.9)
which is before the cutoff date of 
	(2021-Sep-26th@01.7.25)
i.e. 2 weeks ago",2021-10-10 01:07:36+00:00,1081,Standard Bounties,"Mark Beylin, Kevin Owocki, Ricardo Guilherme Schmidt",Stagnant
eip-1087.md,"Create net gas metering EIP (#1087)

* Create net gas metering EIP

* Update and rename eip-X.md to eip-1087.md",2018-05-17 15:04:43+00:00,"(bot 1272989785) moving EIPS/eip-1087.md to stagnant (#4228)

PR 4228 with changes to EIPS/eip-1087.md was created on 
	(2021-Sep-26th@10.44.9)
which is before the cutoff date of 
	(2021-Oct-3rd@01.5.45)
i.e. 2 weeks ago",2021-10-17 01:16:32+00:00,1087,Net gas metering for SSTORE operations,Nick Johnson,Stagnant
eip-1102.md,"EIP: Opt-in web3 access (#1102)

* Initial draft

* Strengthen constraint language and add noop logic path

* Add identifier property to web3 request payload

* Update example to remove error case

* Add identifier to web3 response payload for filtering

* Concretely detail DOM-specific APIs

* Update and rename eip-web3-access.md to eip-1102.md

* Remove unnecessary constraint link",2018-06-01 10:42:51+00:00,"(bot 1272989785) moving EIPS/eip-1102.md to stagnant (#4229)

PR 4229 with changes to EIPS/eip-1102.md was created on 
	(2021-Sep-26th@10.44.19)
which is before the cutoff date of 
	(2021-Oct-3rd@01.5.45)
i.e. 2 weeks ago",2021-10-17 01:16:26+00:00,1102,Opt-in account exposure,"Paul Bouchon, Erik Marks",Stagnant
eip-1108.md,"EIP-1108: Reduce alt bn128 gas costs (#1108)

* Add draft of elliptic-curve gas cost reduction EIP

* Add status and EIP dependencies

* Lowercase preamble per observed practice

* Tweak EIP title to reflect core cause for cost reduction

The EIP listed out the precompiles, but really this is about reducing all
alt_bn128-related gas costs.

* Reduce constant factor in line with original EIP issue

For some reason this got missed when turning into PR form.

* Fix footnote formatting

* Drop extraneous code fence

* GitHub username only for EIP author line

* Label alt_bn128 gas cost EIP as EIP 1108",2018-06-04 16:34:31+00:00,"Adds rule to EIP-1 that references to other EIPs must use relative path format and the first reference must be linked. (#2947)

I have gone through and updated all existing EIPs to match this rule, including EIP-1.

In some cases, people were using markdown citations, I suspect because the long-form was a bit verbose to inline.  Since the relative path is quite short, I moved these to inline but I wouldn't be opposed to putting them back to citation format if that is desired by the authors.

In doing the migration/cleanup, I found some EIP references to EIPs that don't actually exist.  In these cases I tried to excise the reference from the EIP as best I could.

It is worth noting that the Readme actually already had this rule, it just wasn't expressed properly in EIP-1 and the ""Citation Format"" section of the readme I think caused people a bit of confusion (when citing externally, you should use the citation format).",2020-09-30 04:22:43+00:00,1108,Reduce alt_bn128 precompile gas costs,"Antonio Salazar Cardozo, Zachary Williamson",Final
eip-1109.md,"EIP-1109: Remove call costs for precompiled contracts (#1109)

* Remove call costs for precompiled contracts

* EIP number added and file name changed

* Fixed discussion-to field

* Fixed type and category fields

* discussion-to field changed to ethereum-magicians

* Change a bad change

* Changed the discussion link",2018-05-22 22:02:17+00:00,"(bot 1272989785) moving EIPS/eip-1109.md to stagnant (#4230)

PR 4230 with changes to EIPS/eip-1109.md was created on 
	(2021-Sep-26th@10.44.29)
which is before the cutoff date of 
	(2021-Oct-3rd@01.5.45)
i.e. 2 weeks ago",2021-10-17 01:16:20+00:00,1109,PRECOMPILEDCALL opcode (Remove CALL costs for precompiled contracts),Jordi Baylina,Stagnant
eip-1123.md,"Add initial draft of EIP-1123 (#1131)

* Add initial draft of EIP-1123

Containing the Revised Ethereum Smart Contract Packaging Standard

* Fix typos",2018-06-04 16:21:22+00:00,"Bump eipv to v0.3.0 (#4386)

* bump eipv to v0.3.0

* remove deprecated preamble fields from eips",2021-10-28 18:43:03+00:00,1123,Revised Ethereum Smart Contract Packaging Standard,"g. nicholas d’andrea, Piper Merriam, Nick Gheorghita, Danny Ryan",Withdrawn
eip-1129.md,"First version of EIP-SDA. (#1129)

* First version of EIP-SDA.

* Added public discussion link.

* Update and rename eip-SDA.md to eip-1129.md

* Renamed eip-SDA.md to eip-1129.md

* Removed eip-SDA.md.

* Update eip-1129.md

* Fixed some typos in EIP 1129.",2018-06-18 15:41:46+00:00,"(bot 1272989785) moving EIPS/eip-1129.md to stagnant (#4231)

PR 4231 with changes to EIPS/eip-1129.md was created on 
	(2021-Sep-26th@10.44.38)
which is before the cutoff date of 
	(2021-Oct-3rd@01.5.45)
i.e. 2 weeks ago",2021-10-17 01:16:13+00:00,1129,Standardised DAPP announcements,Jan Turk,Stagnant
eip-1132.md,ERC1132 - Extending ERC20 with token locking capability (#1331),2018-08-17 19:41:05+00:00,"(bot 1272989785) moving EIPS/eip-1132.md to stagnant (#4232)

PR 4232 with changes to EIPS/eip-1132.md was created on 
	(2021-Sep-26th@10.44.48)
which is before the cutoff date of 
	(2021-Oct-3rd@01.5.45)
i.e. 2 weeks ago",2021-10-17 01:16:07+00:00,1132,Extending ERC20 with token locking capability,nitika-goel,Stagnant
eip-1153.md,"Transient storage opcodes (#1153)

* Create eip-transient_storage.md

* Update eip-transient_storage.md

* Update eip-transient_storage.md

* Update eip-transient_storage.md

* Update eip-transient_storage.md

* Update eip-transient_storage.md

* Update eip-transient_storage.md

* Update and rename eip-transient_storage.md to eip-1153.md

* Add missing colon",2018-06-18 11:17:30+00:00,"Update EIP-1153: EIP-1153 - Change TLOAD/TSTORE opcodes

Merged by EIP-Bot.",2023-05-26 17:13:08+00:00,1153,Transient storage opcodes,"Alexey Akhunov, Moody Salem",Last Call
eip-1154.md,"Oracle interface (#1154)

* Started writing proposal

* Added more commentary and removed comments

* Update and rename eip-oracle_interface.md to eip-1154.md

* Add discussions-to URL

* Corrected discussions-to link

* Expand on use cases and types of oracles supported",2018-06-28 13:41:35+00:00,"Update EIP statuses (#3096)

I'm updating EIP statuses according to #2996. The mappings are as follows:

```
Draft => Draft
Last Call => Last Call
Accepted => Final
Final => Final
Superseded => Final
Abandoned => Withdrawn
Rejected => Withdrawn
Active => Living
```",2020-11-06 04:41:46+00:00,1154,Oracle Interface,Alan Lu,Withdrawn
eip-1155.md,"Automatically merged updates to draft EIP(s) 1155 (#2074)


Hi, I'm a bot! This change was automatically merged because:

 - It only modifies existing Draft or Last Call EIP(s)
 - The PR was approved or written by at least one author of each modified EIP
 - The build is passing",2019-05-24 07:02:34+00:00,"fix arg ordering for balanceOf in Split-Id section (#5717)

Co-authored-by: Sam Wilson <57262657+SamWilsn@users.noreply.github.com>",2023-05-09 00:51:35+00:00,1155,Multi Token Standard,"Witek Radomski, Andrew Cooke, Philippe Castonguay, James Therien, Eric Binet, Ronan Sandford",Final
eip-1167.md,"Adding EIP 1167 - Minimal Proxy Contract (#1167)

* adding EIP 1154 - Minimal Proxy Contract

* Update eip-1154.md

* fix email brackets

* fix discussions-to email

* Update eip-1154.md

* renumber to avoid conflict",2018-06-22 12:10:35+00:00,"Simplify the EIP template (#2939)

* Try to clarify the meaning of EIP fields

* Remove unhelpful extra comments in the template

* Change EIP-1491 from CRLF to LF

* Remove template comments from EIPs

* Fix heading: Abstarct -> Abstract

* Update EIP-2014

* Change author list of EIP-1",2020-09-08 09:32:52+00:00,1167,Minimal Proxy Contract,"Peter Murray, Nate Welch, Joe Messerman",Final
eip-1175.md,change directory (#1183),2018-06-25 11:10:09+00:00,"(bot 1272989785) moving EIPS/eip-1175.md to stagnant (#4234)

PR 4234 with changes to EIPS/eip-1175.md was created on 
	(2021-Sep-26th@10.45.8)
which is before the cutoff date of 
	(2021-Oct-3rd@01.5.45)
i.e. 2 weeks ago",2021-10-17 01:15:54+00:00,1175,Wallet & shop standard for all tokens (erc20),Jet Lim,Stagnant
eip-1178.md,"Multi-lcass Token Standard (#1178)

* eip-1169

* added standard

* Update and rename eip-1169.md to eip-1179.md

* Update eip-1179.md

* name change

* Update eip-1178.md

* Update eip-1178.md",2018-06-24 18:58:48+00:00,"(bot 1272989785) moving EIPS/eip-1178.md to stagnant (#4235)

PR 4235 with changes to EIPS/eip-1178.md was created on 
	(2021-Sep-26th@10.45.17)
which is before the cutoff date of 
	(2021-Oct-3rd@01.5.45)
i.e. 2 weeks ago",2021-10-17 01:15:48+00:00,1178,Multi-class Token Standard,Albert Chon,Stagnant
eip-1185.md,"DNS resolver profile for ENS (#1185)

* DNS resolver profile for ENS

* Update and rename eip-draft_ens_dns.md to eip-1185.md

* Update eip-1185.md

* Clarify motivation and provide only a single interface for updating and obtaining records

* Add function signatures

* Fixes as per PR comments

* Clarify ordering of data in setDNSRecords",2018-10-19 08:24:09+00:00,"Update EIP-1185: Move to Draft

Merged by EIP-Bot.",2023-04-19 14:49:50+00:00,1185,Storage of DNS Records in ENS,Jim McDonald,Stagnant
eip-1186.md,"eip-1186 eth_getProof (#1436)

* Create eip-eth_getProof.md

* Update eip-eth_getProof.md

* Update eip-eth_getProof.md

* Update eip-eth_getProof.md

* Update eip-eth_getProof.md

* Update eip-eth_getProof.md

* Update eip-eth_getProof.md

* Update eip-eth_getProof.md

* Update eip-eth_getProof.md

Minor changes  and grammar check

* Update eip-eth_getProof.md

* Update eip-eth_getProof.md

* renamed

* Update eip-1186.md

* fixed type

* Update eip-1186.md

* fixed links to geth

* Update eip-1186.md

* - better title

* - better title

- better typography",2018-10-17 13:16:55+00:00,"(bot 1272989785) moving EIPS/eip-1186.md to stagnant (#4237)

PR 4237 with changes to EIPS/eip-1186.md was created on 
	(2021-Sep-26th@10.45.37)
which is before the cutoff date of 
	(2021-Oct-3rd@01.5.45)
i.e. 2 weeks ago",2021-10-17 01:15:35+00:00,1186,RPC-Method to get Merkle Proofs - eth_getProof,"Simon Jentzsch, Christoph Jentzsch",Stagnant
eip-1191.md,"EIP-1191: extends EIP-55 by optionally adding a chain id defined by EIP-155 to the checksum calculation (#1191)

* EIP Add chain id to mixed-case checksum address encoding

* Fixes header

* Update eip-1186.md

* Change assigned EIP number",2018-07-11 15:15:40+00:00,"Rename review-period-end to last-call-deadline (#4438)

* Rename review-period-end to last-call-deadline

* Update eipv to 0.4.0",2021-11-10 15:26:17+00:00,1191,Add chain id to mixed-case checksum address encoding,Juliano Rizzo,Last Call
eip-1193.md,"Automatically merged updates to draft EIP(s) 1193


Hi, I'm a bot! This change was automatically merged because:

 - It only modifies existing Draft or Last Call EIP(s)
 - The PR was approved or written by at least one author of each modified EIP
 - The build is passing",2019-01-25 21:36:21+00:00,"1193: Fix example errata (#3138)

This PR fixes two errata in the EIP-1193 examples section, special thanks to @enolan for noting in https://github.com/ethereum/EIPs/issues/2319#issuecomment-734159349 and https://github.com/ethereum/EIPs/issues/2319#issuecomment-734169215.",2020-12-02 06:42:40+00:00,1193,Ethereum Provider JavaScript API,"Fabian Vogelsteller, Ryan Ghods, Victor Maia, Marc Garreau, Erik Marks",Final
eip-1202.md,"PR for EIP-1202 (#1237)

* Creating EIP-1202 WIP

* Rename eip-1202 to eip-1202.md

* Update eip-1202.md

Update links

* Turns out only 1203 does not exist

* Update eip-1202.md

* Add copyright waiver

* Update eip-1202.md

* Update eip-1202.md

* Fix build breakage

* Update eip-1202.md

* Update eip-1202.md",2018-07-21 08:35:33+00:00,"Update EIP-1202: Resolve new EIPW and bring this EIP back to live (#3848)

* Move EIP-1202 from DRAFT to REVIEW

* Move EIP-1202 from Draft to Last Call

* Update eip-1202.md

* Update eip-1202.md

Remove `Bibliography` and `Simple Code Example`

* Update eip-1202.md

* Change from `contract` to `interface`

* Update the interface and split into 3 sub interfaces

* Update eip-1202.md

* Update eip-1202.md

* Update format

* Fix reviews

* Update

* Update

* Update

* Update

* Updates

* Update",2022-10-31 11:52:18+00:00,1202,Voting Interface,"Zainan Victor Zhou, Evan, Yin Xu",Draft
eip-1203.md,EIP 1203 (#1204),2018-07-17 11:10:07+00:00,"(bot 1272989785) moving EIPS/eip-1203.md to stagnant (#4238)

PR 4238 with changes to EIPS/eip-1203.md was created on 
	(2021-Sep-26th@10.45.47)
which is before the cutoff date of 
	(2021-Oct-3rd@01.5.45)
i.e. 2 weeks ago",2021-10-17 01:15:28+00:00,1203,ERC-1203 Multi-Class Token Standard (ERC-20 Extension),"Jeff Huang, Min Zu",Stagnant
eip-1207.md,"Add EIP-1207 DAuth Access Delegation Standard (#1208)

* Add EIP-1207

* Fix eip-1207 title",2018-07-17 11:01:40+00:00,"(bot 1272989785) moving EIPS/eip-1207.md to stagnant (#4239)

PR 4239 with changes to EIPS/eip-1207.md was created on 
	(2021-Sep-26th@10.45.56)
which is before the cutoff date of 
	(2021-Oct-3rd@01.5.45)
i.e. 2 weeks ago",2021-10-17 01:15:22+00:00,1207,DAuth Access Delegation Standard,"Xiaoyu Wang, Bicong Wang",Stagnant
eip-1227.md,"EIP-1227: Defuse Difficulty Bomb and Reset Block Reward (#1235)

* Add EIP draft.

* Rename file.

* Update eip-1235.md

* Rename eip-1235.md to eip-1227.md

* Remove superflous motivation, make it more concrete.",2018-07-19 15:55:42+00:00,"(bot 1272989785) moving EIPS/eip-1227.md to stagnant (#4240)

PR 4240 with changes to EIPS/eip-1227.md was created on 
	(2021-Sep-26th@10.46.7)
which is before the cutoff date of 
	(2021-Oct-3rd@01.5.45)
i.e. 2 weeks ago",2021-10-17 01:15:15+00:00,1227,Defuse Difficulty Bomb and Reset Block Reward,SmeargleUsedFly,Stagnant
eip-1234.md,"EIP-1234: Constantinople Difficulty Bomb Delay and Block Reward Adjustment (#1234)

* difficulty bomb: duplicate eip 649

* eip-1234: update spec to match with constantinople requirements

* eip-1234: update header

* Remove reference to #1227",2018-07-20 21:20:20+00:00,"Adds rule to EIP-1 that references to other EIPs must use relative path format and the first reference must be linked. (#2947)

I have gone through and updated all existing EIPs to match this rule, including EIP-1.

In some cases, people were using markdown citations, I suspect because the long-form was a bit verbose to inline.  Since the relative path is quite short, I moved these to inline but I wouldn't be opposed to putting them back to citation format if that is desired by the authors.

In doing the migration/cleanup, I found some EIP references to EIPs that don't actually exist.  In these cases I tried to excise the reference from the EIP as best I could.

It is worth noting that the Readme actually already had this rule, it just wasn't expressed properly in EIP-1 and the ""Citation Format"" section of the readme I think caused people a bit of confusion (when citing externally, you should use the citation format).",2020-09-30 04:22:43+00:00,1234,Constantinople Difficulty Bomb Delay and Block Reward Adjustment,Afri Schoedon,Final
eip-1240.md,"Creates Remove Difficulty Bomb EIP (#1240)

* Creates Remove Difficulty Bomb EIP

The difficulty bomb operates under the assumption that miners decide what code economic participants are running, rather than economic participants deciding for themselves. In reality, miners will mine whatever chain is most profitable and the most profitable chain is the one that economic participants use. If 99% of miners mine a chain that no economic participants use then that chain will have no value and the miners will cease mining of it in favor of some other chain that does have economic participants. Another way to put this is that miners will follow economic participants, not the other way around.

With the difficulty bomb removed, when Casper is released it will be up to economic participants to decide whether they want the features that Casper enables or not. If they do not want Casper, they are free to continue running unpatched clients and participating in the Ethereum network as it exists today. This freedom of choice is the cornerstone of DLTs and making it hard for people to make that choice (by creating an artificial pressure) does not work towards that goal of freedom of choice. If the development team is not confident that economic participants will want Casper, then they should re-evaluate their priorities rather than trying to force Casper onto users.

Personal Note: I think we will see almost all economic participants in Ethereum switch to PoS/Sharding without any extra pressure beyond client defaults.

* Added more clarity on how to fix the difficulty.

* Adds Yellow Paper implementation.

* Sets EIP number.",2018-07-21 08:36:20+00:00,"Update EIP statuses (#3096)

I'm updating EIP statuses according to #2996. The mappings are as follows:

```
Draft => Draft
Last Call => Last Call
Accepted => Final
Final => Final
Superseded => Final
Abandoned => Withdrawn
Rejected => Withdrawn
Active => Living
```",2020-11-06 04:41:46+00:00,1240,Remove Difficulty Bomb,Micah Zoltu,Withdrawn
eip-1261.md,"Create eip-1261 (#1268)

* Create eip-1261

* updated eip 1261

* edited title to remove erc number",2018-07-31 13:36:13+00:00,"(bot 1272989785) moving EIPS/eip-1261.md to stagnant (#4241)

PR 4241 with changes to EIPS/eip-1261.md was created on 
	(2021-Sep-26th@10.46.16)
which is before the cutoff date of 
	(2021-Oct-3rd@01.5.45)
i.e. 2 weeks ago",2021-10-17 01:15:09+00:00,1261,Membership Verification Token (MVT),"Chaitanya Potti, Partha Bhattacharya",Stagnant
